WeatherID,AreaID,Date,Temperature,Humidity,WindSpeed,Precipitation
643,3,2023-10-19,22.6,33.6,17.4,6.0
644,3,2023-10-20,8.2,35.1,19.0,26.9
645,3,2023-10-21,11.4,27.6,13.2,40.0
646,3,2023-10-22,7.1,41.0,1.0,28.4
647,3,2023-10-23,1.1,27.9,14.8,46.1
648,3,2023-10-24,18.5,78.8,11.7,18.9
649,3,2023-10-25,-4.8,29.4,12.0,27.4
650,3,2023-10-26,34.5,64.9,2.4,17.6
651,3,2023-10-27,11.9,33.0,14.2,18.6
652,3,2023-10-28,5.9,47.0,3.8,29.8
653,3,2023-10-29,7.6,74.3,16.1,38.4
654,3,2023-10-30,8.8,31.0,19.3,25.4
655,3,2023-10-31,3.7,50.5,18.6,37.9
656,3,2023-11-01,0.0,70.5,5.7,49.4
657,3,2023-11-02,9.5,47.5,13.7,39.5
658,3,2023-11-03,-1.0,43.6,18.7,49.5
659,3,2023-11-04,30.3,75.2,12.4,1.1
660,3,2023-11-05,-6.6,93.5,11.3,44.1
661,3,2023-11-06,0.2,65.6,4.6,33.1
662,3,2023-11-07,15.7,34.4,19.0,10.2
663,3,2023-11-08,12.0,42.9,17.4,19.0
664,3,2023-11-09,29.3,25.3,4.6,23.2
665,3,2023-11-10,8.1,93.5,6.6,30.5
666,3,2023-11-11,-3.8,73.1,7.1,37.2
667,3,2023-11-12,30.7,72.8,13.2,3.4
668,3,2023-11-13,3.5,35.2,17.5,37.1
669,3,2023-11-14,2.1,78.7,19.1,6.9
670,3,2023-11-15,15.1,45.9,5.1,26.9
671,3,2023-11-16,19.8,61.9,4.2,13.6
672,3,2023-11-17,26.6,45.1,8.9,4.4
673,3,2023-11-18,6.0,87.4,3.2,22.8
674,3,2023-11-19,6.7,98.5,17.3,16.9
675,3,2023-11-20,13.5,33.0,14.6,31.9
676,3,2023-11-21,-0.1,40.6,4.8,34.4
677,3,2023-11-22,21.7,60.0,7.5,7.7
678,3,2023-11-23,4.6,72.4,6.6,31.1
679,3,2023-11-24,-3.5,72.4,13.1,17.4
680,3,2023-11-25,15.9,38.1,12.8,39.0
681,3,2023-11-26,5.8,45.4,9.4,42.1
682,3,2023-11-27,30.1,89.4,9.2,0.8
683,3,2023-11-28,4.5,61.3,19.9,4.4
684,3,2023-11-29,30.9,44.6,17.8,30.3
685,3,2023-11-30,-2.5,82.4,19.8,45.1
686,3,2023-12-01,19.8,46.7,10.2,31.9
687,4,2023-10-01,34.8,99.9,6.9,2.7
688,4,2023-10-02,-4.3,96.1,2.9,41.1
689,4,2023-10-03,18.1,93.3,19.9,28.4
690,4,2023-10-04,-0.3,93.5,12.7,15.1
691,4,2023-10-05,23.9,25.5,6.9,46.9
692,4,2023-10-06,-5.8,54.1,16.2,23.2
693,4,2023-10-07,12.8,37.8,9.8,20.0
694,4,2023-10-08,31.8,49.6,10.6,22.7
695,4,2023-10-09,8.9,26.6,14.5,46.0
696,4,2023-10-10,9.7,47.5,17.0,25.1
697,4,2023-10-11,13.0,88.3,4.7,41.9
698,4,2023-10-12,22.2,54.3,10.3,14.9
699,4,2023-10-13,21.6,81.0,4.5,36.5
700,4,2023-10-14,7.6,71.1,10.1,23.9
701,4,2023-10-15,-2.3,86.0,14.1,47.4
702,4,2023-10-16,-2.2,91.6,18.4,49.0
703,4,2023-10-17,8.5,57.2,4.6,30.0
704,4,2023-10-18,22.6,99.6,6.4,28.7
705,4,2023-10-19,30.7,58.2,0.4,21.6
706,4,2023-10-20,32.3,71.5,13.1,39.1
707,4,2023-10-21,-7.0,44.5,19.4,25.8
708,4,2023-10-22,4.5,86.7,8.1,7.4
709,4,2023-10-23,-7.1,26.6,8.5,8.7
710,4,2023-10-24,-2.0,20.8,1.0,12.4
711,4,2023-10-25,16.9,99.4,17.9,41.5
712,4,2023-10-26,4.9,59.9,0.1,21.2
713,4,2023-10-27,12.1,20.2,10.3,35.0
714,4,2023-10-28,-0.1,42.4,5.4,0.5
715,4,2023-10-29,9.0,55.6,0.4,26.3
716,4,2023-10-30,26.8,81.2,11.2,8.0
717,4,2023-10-31,19.8,79.8,9.2,42.2
718,4,2023-11-01,21.4,70.2,13.7,36.4
719,4,2023-11-02,25.4,76.7,15.2,44.9
720,4,2023-11-03,13.7,25.9,13.6,32.2
721,4,2023-11-04,7.0,62.7,0.7,43.1
722,4,2023-11-05,21.3,86.9,15.6,23.5
723,4,2023-11-06,-3.1,92.3,0.2,21.2
724,4,2023-11-07,14.5,20.3,13.3,6.7
725,4,2023-11-08,-7.8,34.0,0.8,44.0
726,4,2023-11-09,27.9,75.6,10.7,11.8
727,4,2023-11-10,0.1,21.7,10.3,46.6
728,4,2023-11-11,14.7,24.2,13.0,16.5
729,4,2023-11-12,22.1,93.4,6.9,40.5
730,4,2023-11-13,-7.9,28.0,1.8,18.5
731,4,2023-11-14,-8.2,51.1,15.9,17.5
732,4,2023-11-15,22.0,24.4,12.5,35.8
733,4,2023-11-16,14.0,21.1,11.5,5.2
734,4,2023-11-17,-8.1,72.5,13.0,28.2
735,4,2023-11-18,17.6,81.5,18.1,10.8
736,4,2023-11-19,1.7,53.1,8.3,36.9
737,4,2023-11-20,10.3,32.5,0.6,37.3
738,4,2023-11-21,5.5,26.4,8.4,13.8
739,4,2023-11-22,23.0,92.0,8.4,44.1
740,4,2023-11-23,-9.9,83.4,1.8,1.8
741,4,2023-11-24,15.1,83.6,0.3,8.6
742,4,2023-11-25,11.5,86.8,19.2,37.9
743,4,2023-11-26,31.2,31.0,7.0,28.4
744,4,2023-11-27,19.6,59.8,15.2,32.9
745,4,2023-11-28,29.3,82.1,7.0,24.0
746,4,2023-11-29,1.3,39.3,6.2,20.1
747,4,2023-11-30,-2.8,43.6,15.7,36.0
748,4,2023-12-01,31.2,91.9,11.9,42.0
